index,Djibouti,Eritrea,Ethiopia,Kenya,Madagascar,Mauritius,Mayotte,Rwanda,Somalia,South Sudan,Sudan,Tanzania,Uganda
2020-03,1.0,2.0,3.0,4.0,5.0,13.0,12.0,6.0,7.0,8.0,9.0,10.0,11.0
2020-03,2.0,1.8,3.8,5.2,4.4,12.2,11.2,5.4,8.0,7.2,9.8,10.2,9.8
2020-03,3.0,1.6,4.6,6.4,3.8,11.4,10.4,4.8,9.0,6.4,10.6,10.4,8.6
2020-03,4.0,1.4,5.4,7.6,3.2,10.6,9.6,4.2,10.0,5.6,11.4,10.6,7.4
2020-03,5.0,1.2,6.2,8.8,2.6,9.8,8.8,3.6,11.0,4.8,12.2,10.8,6.2
2020-04,6.0,1.0,7.0,10.0,2.0,9.0,8.0,3.0,12.0,4.0,13.0,11.0,5.0
2020-04,6.8,1.0,7.0,10.4,2.8,7.6,8.2,3.2,11.8,4.8,13.0,9.8,4.6
2020-04,7.6,1.0,7.0,10.8,3.6,6.2,8.4,3.4,11.6,5.6,13.0,8.6,4.2
2020-04,8.4,1.0,7.0,11.2,4.4,4.800000000000001,8.6,3.6,11.4,6.4,13.0,7.4,3.8
2020-04,9.2,1.0,7.0,11.6,5.2,3.4000000000000004,8.8,3.8,11.2,7.2,13.0,6.2,3.4
2020-05,10.0,1.0,7.0,12.0,6.0,2.0,9.0,4.0,11.0,8.0,13.0,5.0,3.0
2020-05,10.0,1.0,8.0,11.8,6.2,2.0,8.4,4.2,10.4,8.2,13.0,4.6,3.2
2020-05,10.0,1.0,9.0,11.6,6.4,2.0,7.8,4.4,9.8,8.4,13.0,4.2,3.4
2020-05,10.0,1.0,10.0,11.4,6.6,2.0,7.2,4.6,9.2,8.6,13.0,3.8,3.6
2020-05,10.0,1.0,11.0,11.2,6.8,2.0,6.6,4.8,8.6,8.8,13.0,3.4,3.8
2020-06,10.0,1.0,12.0,11.0,7.0,2.0,6.0,5.0,8.0,9.0,13.0,3.0,4.0
2020-06,9.4,1.0,12.0,11.4,7.6,2.0,6.4,4.8,7.4,9.0,12.6,3.0,4.4
2020-06,8.8,1.0,12.0,11.8,8.2,2.0,6.8,4.6,6.8,9.0,12.2,3.0,4.8
2020-06,8.2,1.0,12.0,12.2,8.8,2.0,7.2,4.4,6.2,9.0,11.8,3.0,5.2
2020-06,7.6,1.0,12.0,12.6,9.4,2.0,7.6,4.2,5.6,9.0,11.4,3.0,5.6
2020-07,7.0,1.0,12.0,13.0,10.0,2.0,8.0,4.0,5.0,9.0,11.0,3.0,6.0
2020-07,6.6,1.0,12.2,12.8,10.2,2.0,7.6,4.8,4.6,8.6,10.8,3.2,6.6
2020-07,6.2,1.0,12.4,12.6,10.4,2.0,7.2,5.6,4.2,8.2,10.6,3.4,7.2
2020-07,5.8,1.0,12.6,12.4,10.6,2.0,6.8,6.4,3.8,7.8,10.4,3.6,7.8
2020-07,5.4,1.0,12.8,12.2,10.8,2.0,6.4,7.2,3.4,7.4,10.2,3.8,8.4
2020-08,5.0,1.0,13.0,12.0,11.0,2.0,6.0,8.0,3.0,7.0,10.0,4.0,9.0
2020-08,4.8,1.0,13.0,12.0,10.8,2.0,5.8,8.0,3.8,6.8,9.8,3.8,9.4
2020-08,4.6,1.0,13.0,12.0,10.6,2.0,5.6,8.0,4.6,6.6,9.6,3.6,9.8
2020-08,4.4,1.0,13.0,12.0,10.4,2.0,5.4,8.0,5.4,6.4,9.4,3.4,10.2
2020-08,4.2,1.0,13.0,12.0,10.2,2.0,5.2,8.0,6.2,6.2,9.2,3.2,10.6
2020-09,4.0,1.0,13.0,12.0,10.0,2.0,5.0,8.0,7.0,6.0,9.0,3.0,11.0
2020-09,3.4,1.2,12.8,12.2,10.0,2.2,5.2,8.0,7.0,6.6,8.2,3.2,11.0
2020-09,2.8,1.4,12.6,12.4,10.0,2.4,5.4,8.0,7.0,7.2,7.4,3.4,11.0
2020-09,2.2,1.6,12.4,12.6,10.0,2.6,5.6,8.0,7.0,7.8,6.6,3.6,11.0
2020-09,1.6,1.8,12.2,12.8,10.0,2.8,5.8,8.0,7.0,8.4,5.8,3.8,11.0
2020-10,1.0,2.0,12.0,13.0,10.0,3.0,6.0,8.0,7.0,9.0,5.0,4.0,11.0
2020-10,1.0,2.0,11.8,13.0,9.4,3.0,6.0,8.2,7.2,8.2,6.4,4.0,10.8
2020-10,1.0,2.0,11.6,13.0,8.8,3.0,6.0,8.4,7.4,7.4,7.8,4.0,10.6
2020-10,1.0,2.0,11.4,13.0,8.2,3.0,6.0,8.6,7.6,6.6,9.2,4.0,10.4
2020-10,1.0,2.0,11.2,13.0,7.6,3.0,6.0,8.8,7.8,5.8,10.6,4.0,10.2
2020-11,1.0,2.0,11.0,13.0,7.0,3.0,6.0,9.0,8.0,5.0,12.0,4.0,10.0
2020-11,1.0,2.6,11.2,12.6,7.0,2.8,6.0,9.0,8.0,4.8,12.2,3.8,10.0
2020-11,1.0,3.2,11.4,12.2,7.0,2.6,6.0,9.0,8.0,4.6,12.4,3.6,10.0
2020-11,1.0,3.8,11.6,11.8,7.0,2.4,6.0,9.0,8.0,4.4,12.6,3.4,10.0
2020-11,1.0,4.4,11.8,11.4,7.0,2.2,6.0,9.0,8.0,4.2,12.8,3.2,10.0
2020-12,1.0,5.0,12.0,11.0,7.0,2.0,6.0,9.0,8.0,4.0,13.0,3.0,10.0
2020-12,1.6,5.2,12.0,10.8,7.2,1.8,6.2,9.4,6.8,4.2,13.0,3.0,9.8
